"Belford CDP, New Jersey",2018,602,458,76.1,724,244,33.7,835,315,37.7,13,584,193,33,98,16.8,409,33,582,96.7
"Belle Mead CDP, New Jersey",2018,61,51,83.6,81,27,33.3,64,20,31.3,0,58,0,0,16,27.6,9,7.6,61,100
"Belleplain CDP, New Jersey",2018,200,131,65.5,221,89,40.3,175,38,21.7,4,68,6,8.8,18,26.5,176,49,173,86.5
"Bellmawr borough, New Jersey",2018,4379,2791,63.7,4883,1997,40.9,4587,1252,27.3,122,2354,547,23.2,470,20,3198,39,3764,86
"Belmar borough, New Jersey",2018,2560,1187,46.4,2845,1310,46,2198,814,37,36,889,215,24.2,219,24.6,934,20.8,2317,90.5
"Belvidere town, New Jersey",2018,981,633,64.5,905,303,33.5,1102,318,28.9,36,665,165,24.8,108,16.2,489,29.5,888,90.5
"Bergenfield borough, New Jersey",2018,8760,6602,75.4,10487,3524,33.6,11884,3682,31,221,7073,1454,20.6,2003,28.3,4533,24.3,8148,93
"Berlin borough, New Jersey",2018,2783,1764,63.4,3009,1121,37.3,3350,1204,35.9,53,1992,546,27.4,651,32.7,1391,26.5,2329,83.7
"Bernardsville borough, New Jersey",2018,2671,2215,82.9,3249,851,26.2,2841,493,17.4,46,2002,458,22.9,266,13.3,499,9.5,2555,95.7
"Beverly city, New Jersey",2018,901,616,68.4,834,273,32.7,1062,325,30.6,41,446,85,19.1,104,23.3,676,40.4,772,85.7
"Blackwells Mills CDP, New Jersey",2018,245,245,100,415,168,40.5,309,65,21,0,275,76,27.6,81,29.5,5,1,245,100
"Blackwood CDP, New Jersey",2018,1815,1123,61.9,1760,556,31.6,2028,729,35.9,40,1129,183,16.2,294,26,1351,40.4,1593,87.8
"Blairstown CDP, New Jersey",2018,91,91,100,250,188,75.2,81,47,58,0,58,0,0,19,32.8,146,44.1,91,100
"Blawenburg CDP, New Jersey",2018,63,44,69.8,63,19,30.2,87,26,29.9,0,45,9,20,11,24.4,0,0,63,100
"Bloomingdale borough, New Jersey",2018,2916,1943,66.6,2910,867,29.8,3816,1212,31.8,85,1854,328,17.7,692,37.3,1724,31.1,2648,90.8
"Bloomsbury borough, New Jersey",2018,304,193,63.5,324,110,34,313,82,26.2,5,155,61,39.4,36,23.2,130,26.3,280,92.1
"Bogota borough, New Jersey",2018,2866,2151,75.1,3250,1289,39.7,3769,1317,34.9,109,1963,340,17.3,729,37.1,1778,30.6,2643,92.2
"Boonton town, New Jersey",2018,3111,2041,65.6,3413,1112,32.6,3301,1062,32.2,124,2103,390,18.5,597,28.4,1267,21.9,2894,93
"Bordentown city, New Jersey",2018,1710,846,49.5,1550,754,48.6,1810,721,39.8,38,767,219,28.6,213,27.8,848,29.6,1485,86.8
"Bound Brook borough, New Jersey",2018,3527,2359,66.9,4144,1756,42.4,4116,1539,37.4,60,2495,476,19.1,682,27.3,2662,38.5,3139,89
"Bradley Beach borough, New Jersey",2018,2120,940,44.3,1813,895,49.4,1947,827,42.5,71,708,153,21.6,202,28.5,507,15.3,1932,91.1
"Bradley Gardens CDP, New Jersey",2018,4793,3746,78.2,5395,1547,28.7,6088,1545,25.4,129,3946,822,20.8,914,23.2,1593,16.2,4591,95.8
"Brainards CDP, New Jersey",2018,68,64,94.1,58,14,24.1,81,23,28.4,0,61,10,16.4,7,11.5,42,34.4,54,79.4
"Branchville borough, New Jersey",2018,324,220,67.9,356,147,41.3,382,110,28.8,23,230,72,31.3,43,18.7,237,39.6,312,96.3
"Brass Castle CDP, New Jersey",2018,586,387,66,770,377,49,641,146,22.8,0,384,185,48.2,28,7.3,388,37.4,523,89.2
"Bridgeton city, New Jersey",2018,6346,4469,70.4,10458,6350,60.7,7685,3797,49.4,442,7075,1564,22.1,831,11.7,5705,38.6,4618,72.8
"Bridgeville CDP, New Jersey",2018,30,11,36.7,30,19,63.3,27,16,59.3,0,0,0,-,0,-,27,47.4,30,100
"Brielle borough, New Jersey",2018,1780,1348,75.7,1882,445,23.6,1953,391,20,40,1278,268,21,274,21.4,458,14.4,1686,94.7
"Brigantine city, New Jersey",2018,4127,2475,60,3842,1027,26.7,4219,1173,27.8,55,1390,261,18.8,398,28.6,2105,28.3,3755,91
"Broadway CDP, New Jersey",2018,136,79,58.1,125,29,23.2,110,17,15.5,0,21,0,0,21,100,41,19.1,119,87.5
"Brookdale CDP, New Jersey",2018,3363,2514,74.8,3691,1193,32.3,3939,993,25.2,195,2379,461,19.4,719,30.2,1451,21.7,3174,94.4
"Brookfield CDP, New Jersey",2018,572,197,34.4,274,16,5.8,534,0,0,0,0,0,-,0,-,273,33.8,443,77.4
"Brooklawn borough, New Jersey",2018,698,505,72.3,819,387,47.3,887,313,35.3,10,498,83,16.7,177,35.5,621,44.8,640,91.7
"Browns Mills CDP, New Jersey",2018,3835,2790,72.8,4062,1532,37.7,4448,1510,33.9,161,2949,507,17.2,837,28.4,2819,40.9,3456,90.1
